"","Date","Day","HighTemp","LowTemp","Precipitation","BrooklynBridge","Total"
"1",42917,42917,84.9,72,0.23,1848,11867
"2",42918,42918,87.1,73,0,2467,13995
"3",42919,42919,87.1,71.1,0.45,2714,16067
"4",42920,42920,82.9,70,0,2296,13925
"5",42921,42921,84.9,71.1,0,3170,23110
"6",42922,42922,75,71.1,0,3065,21861
"7",42923,42923,79,68,1.78,1513,12805
"8",42924,42924,82.9,70,0,2718,17258
"9",42925,42925,81,69.1,0,3048,18320
"10",42926,42926,82.9,71.1,0,3506,24827
"11",42927,42927,84,75,0,2929,21743
"12",42928,42928,87.1,77,0,2860,21174
"13",42929,42929,89.1,77,0,2563,18290
"14",42930,42930,69.1,64.9,0.35,907,8210
"15",42931,42931,82.9,68,0,2853,17259
"16",42932,42932,84.9,70,0,2917,17539
"17",42933,42933,84.9,73.9,0,3264,23837
"18",42934,42934,87.1,75.9,0,3507,25038
"19",42935,42935,91,77,0,3114,22847
"20",42936,42936,93,78.1,0.01,2840,20405
"21",42937,42937,91,77,0,2751,19773
"22",42938,42938,91,78.1,0.57,2301,14422
"23",42939,42939,78.1,73,0.06,2321,13297
"24",42940,42940,69.1,63,0.74,1576,11862
"25",42941,42941,71.1,64,0,3191,23586
"26",42942,42942,75.9,66,0,3821,26969
"27",42943,42943,77,66.9,0,3287,23129
"28",42944,42944,84.9,73,0,3123,21741
"29",42945,42945,75.9,68,0,2074,14814
"30",42946,42946,81,64.9,0,3331,18696
"31",42947,42947,88,66.9,0,3560,24284
